,VaR
2021-07-15,0.005991291397242189
2021-07-16,0.005969256276198108
2021-07-19,0.007622484423134156
2021-07-20,0.008075541954288033
2021-07-21,0.007280297494532735
2021-07-22,0.007082270739693659
2021-07-23,0.007742764560523341
2021-07-26,0.006773125547529348
2021-07-27,0.0063345940765542445
2021-07-28,0.006778674555521807
2021-07-29,0.006684903763339297
2021-07-30,
2021-08-02,
2021-08-03,
2021-08-04,0.021275959536522046
2021-08-05,0.008324390513621932
2021-08-06,0.008233001685469019
2021-08-09,0.008285665875133397
2021-08-10,0.007619377278516064
2021-08-11,0.008010751787742153
2021-08-12,0.010055160584551262
2021-08-13,0.010131837381803758
2021-08-16,0.01009773110443495
2021-08-17,0.011378676002337093
2021-08-18,0.006792976459094697
2021-08-19,0.008639671823484029
2021-08-20,0.008613923159117414
2021-08-23,0.008642875669904055
2021-08-24,0.00863310530012322
2021-08-25,0.008620171344151857
2021-08-26,0.008586796813245048
2021-08-27,0.007077907563040192
2021-08-30,0.00861832391065218
2021-08-31,
2021-09-01,
2021-09-02,
2021-09-03,0.021854222347587517
2021-09-07,0.021867312019824833
2021-09-08,0.01438520032026553
2021-09-09,0.008679288591384268
2021-09-10,0.00760760339792029
2021-09-13,0.0061681270479192404
2021-09-14,0.006159777290681515
2021-09-15,0.0061161979014230095
2021-09-16,0.006131543800976449
2021-09-17,0.006175613008297321
2021-09-20,0.0063342612139765855
2021-09-21,0.006570632705222613
2021-09-22,0.007363176321831618
2021-09-23,0.007512921410259054
2021-09-24,0.007298731011991729
2021-09-27,0.0063081548909795365
2021-09-28,0.0063057557700232775
2021-09-29,0.006166538834423164
2021-09-30,
2021-10-01,
2021-10-04,
2021-10-05,0.020070319737523195
2021-10-06,0.020272680751023963
2021-10-07,0.019947590574584523
2021-10-08,0.020160016766611687
2021-10-11,0.012503247035442134
2021-10-12,0.009815752265795792
2021-10-13,0.011161487935728897
2021-10-14,0.011216262351193764
2021-10-15,0.009891811563709562
2021-10-18,0.007541500987389288
2021-10-19,0.007431325487378265
2021-10-20,0.007486268599017412
2021-10-21,0.007716067608688295
2021-10-22,0.006701788953607374
2021-10-25,0.006360161563838067
2021-10-26,0.006385014984326062
2021-10-27,0.006371889265743835
2021-10-28,0.006235350838866715
2021-10-29,
2021-11-01,0.01227972363832783
2021-11-02,0.00967717562889493
2021-11-03,0.009115831636576938
2021-11-04,0.006033718954962068
2021-11-05,0.007368916245255083
2021-11-08,0.006944709020755759
2021-11-09,0.008553086462175343
2021-11-10,0.007700844309696918
2021-11-11,0.006647728279863952
2021-11-12,0.005698437217508058
2021-11-15,0.00825742839104956
2021-11-16,0.008209935962088405
2021-11-17,0.006546119292025318
2021-11-18,0.0060076816593654025
